scene,scale,depth_a,depth_b,js_divergence,cosine_similarity
cornell-box,coarse,3,4,0.002018213813369583,0.9961085497542691
cornell-box,coarse,4,5,0.000537744766984771,0.9988631197491605
glass-of-water,native,1,2,0.20472552757429532,0.738044750579352
glass-of-water,native,2,3,0.10694490666856876,0.7615344386280878
glass-of-water,native,3,4,0.13619460381496684,0.7190061560626037
glass-of-water,native,4,5,0.10196559772344017,0.7807106440574034
glass-of-water,medium,1,2,0.1887019839524386,0.8085477512808148
glass-of-water,medium,2,3,0.07879440372266754,0.8536816960014377
glass-of-water,medium,3,4,0.10233133394440774,0.8208100429785348
glass-of-water,medium,4,5,0.0703823737535208,0.8885491131693085
glass-of-water,coarse,1,2,0.1588456789669232,0.8940531921775847
glass-of-water,coarse,2,3,0.042341108379234035,0.9396159102857886
glass-of-water,coarse,3,4,0.05919127302709342,0.9191145516264375
glass-of-water,coarse,4,5,0.03976652375436747,0.9578142463947824
kitchen,native,1,2,0.04150607823132638,0.9299122765422176
kitchen,native,2,3,0.007973711227336318,0.9838688429726736
kitchen,native,3,4,0.0031420349165403585,0.9927653965922926
kitchen,native,4,5,0.0021106740338694046,0.9953013474750378
kitchen,medium,1,2,0.03469006911830507,0.944118475542877
kitchen,medium,2,3,0.005892500350280095,0.9892302522684266
kitchen,medium,3,4,0.0018042100773573337,0.9956758642256023
kitchen,medium,4,5,0.0010749597340602448,0.9973202140983248
kitchen,coarse,1,2,0.025967902466413843,0.9580214932641531
kitchen,coarse,2,3,0.003977628585886534,0.9931514765270427
kitchen,coarse,3,4,0.001076148047179125,0.9972542164267705
kitchen,coarse,4,5,0.0005653415894417372,0.9983918824567256
living-room-3,native,1,2,0.09458306536206815,0.8741817965998621
living-room-3,native,2,3,0.027689261463307108,0.9500151160713601
living-room-3,native,3,4,0.018227268704438946,0.9650586966468592
living-room-3,native,4,5,0.0167464057291588,0.9595459857756424
living-room-3,medium,1,2,0.08814968955343117,0.8869756419958719
living-room-3,medium,2,3,0.025509661964731808,0.9541638184209555
living-room-3,medium,3,4,0.016065894474873468,0.9706195318753709
living-room-3,medium,4,5,0.015127796362662786,0.962503549902385
living-room-3,coarse,1,2,0.07274673470345917,0.9119375804044321
living-room-3,coarse,2,3,0.021662028668412613,0.9578191400719807
living-room-3,coarse,3,4,0.013141938021818265,0.9739376761647717
living-room-3,coarse,4,5,0.012724250506330888,0.9670222462246323
staircase2,native,1,2,0.034454770651914185,0.9313564217249729
staircase2,native,2,3,0.01270294199978896,0.9749457532527852
staircase2,native,3,4,0.005091581149504482,0.9902112680504865
staircase2,native,4,5,0.0031350085937751756,0.995924593376092
staircase2,medium,1,2,0.03237407187064409,0.9337619540936526
